timestamp,distance,speed,heart_rate,cadence,fractional_cadence
1038948651,0,0,115,0,0
1038948652,0,0,114,0,0
1038948653,0,0,114,0,0
1038948654,0,0,111,0,0
1038948655,0,0,109,0,0
1038948656,0,0,108,0,0
1038948657,0,0,108,0,0
1038948658,0,0,108,0,0
1038948659,0,0,108,0,0
1038948660,0,0,108,0,0
1038948661,0,0,108,0,0
1038948662,0,0,108,0,0
1038948663,0,0,107,0,0
1038948664,0,0,106,0,0
1038948665,0,0,107,0,0
1038948666,0,0,107,0,0
1038948667,0,0,107,0,0
1038948668,0,0,108,0,0
1038948669,0,0,110,0,0
1038948670,0,0,109,0,0
1038948671,0,0,109,0,0
1038948672,0,0,110,0,0
1038948673,0,0,109,0,0
1038948674,0,0,109,0,0
1038948675,0,0,110,0,0
1038948676,0,0,108,0,0
1038948677,0,0,110,0,0
1038948678,0,0,110,0,0
1038948679,0,0,109,0,0
1038948680,0,0,110,0,0
1038948681,0,0,109,0,0
1038948682,0,0,110,0,0
1038948683,0,0,110,0,0
1038948684,0,0,108,0,0
1038948685,0,0,110,0,0
1038948686,0,0,110,0,0
1038948687,0,0,109,0,0
1038948688,0,0,109,0,0
1038948689,0,0,109,0,0
1038948690,0,0,109,0,0
1038948691,0,0,109,0,0
1038948692,0,0,109,0,0
1038948693,0,0,109,0,0
1038948694,0,0,109,0,0
1038948695,0,0,109,0,0
1038948696,0,0,110,0,0
1038948697,0,0,110,0,0
1038948698,0,0,110,0,0
1038948699,0,0,110,0,0
1038948700,0,0,111,0,0
1038948701,0,0,110,0,0
1038948702,0,0,110,0,0
1038948703,0,0,110,0,0
1038948704,0,0,109,0,0
1038948705,0,0,110,0,0
1038948706,0,0,110,0,0
1038948707,0,0,111,0,0
1038948708,0,0,112,0,0
1038948709,0,0,110,0,0
1038948710,0,0,109,0,0
1038948711,0,0,111,0,0
1038948712,0,0,112,0,0
1038948713,0,0,112,0,0
1038948714,0,0,112,0,0
1038948715,0,0,113,0,0
1038948716,0,0,114,0,0
1038948717,0,0,113,0,0
1038948718,0,0,113,0,0
1038948719,0,0,113,0,0
1038948720,0,0,114,0,0
1038948721,0,0,114,0,0
1038948722,0,0,114,0,0
1038948723,0,0,113,0,0
1038948724,0,0,113,0,0
1038948725,0,0,112,0,0
1038948726,0,0,112,0,0
1038948727,0,0,114,0,0
1038948728,0,0,112,0,0
1038948729,0,0,112,0,0
1038948730,0,0,112,0,0
1038948731,0,0,113,0,0
1038948732,0,0,114,0,0
1038948733,0,0,114,0,0
1038948734,0,0,113,0,0
1038948735,0,0,114,0,0
1038948736,0,0,113,0,0
1038948737,0,0,114,0,0
1038948738,0,0,111,55,0
1038948739,0,0,113,56,0
1038948740,0.51,0.513,114,56,0
1038948741,1.35,0.84,114,58,0
1038948742,2.42,1.064,113,58,0
1038948743,3.65,1.232,112,59,0
1038948744,4.88,1.232,113,60,0.5
1038948745,6.34,1.456,112,62,0
1038948746,7.79,1.456,112,62,0
1038948747,9.46,1.67,113,62,0
1038948748,11.13,1.67,114,62,0
1038948749,13.22,2.081,114,85,0.5
1038948750,15.41,2.202,114,87,0.5
1038948751,17.62,2.202,114,87,0.5
1038948753,20.18,2.566,115,88,0
1038948754,22.88,2.697,116,88,0
1038948755,25.57,2.697,114,88,0
1038948756,28.43,2.846,114,88,0
1038948757,31.32,2.902,115,87,0
1038948758,34.22,2.902,116,87,0
1038948759,37.37,3.135,115,87,0
1038948760,40.82,3.462,119,87,0
1038948761,44.49,3.667,119,87,0
1038948762,48.23,3.732,121,85,0.5
1038948763,51.97,3.751,122,84,0.5
1038948764,55.48,3.508,124,84,0.5
1038948765,58.48,2.995,128,84,0.5
1038948766,61.37,2.883,131,84,0.5
1038948767,64.24,2.883,133,83,0.5
1038948768,67.62,3.368,135,83,0.5
