timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,cadence,fractional_cadence
1038530642,587914508,-1466348969,0,280.4,0,113,0,0
1038530643,587914456,-1466348972,0.35,280.4,0,112,0,0
1038530644,587914403,-1466349010,0.64,280.6,0,111,0,0
1038530645,587914380,-1466349005,0.64,280.6,0,110,0,0
1038530646,587914331,-1466349025,0.97,280.6,0,110,0,0
1038530647,587914326,-1466349015,0.97,280.6,0,109,0,0
1038530648,587914293,-1466349017,0.97,280.6,0,108,0,0
1038530649,587914251,-1466349022,1.3,280.6,0,108,0,0
1038530650,587914226,-1466348994,1.55,280.6,0,107,0,0
1038530651,587914218,-1466348992,1.61,280.4,0,107,0,0
1038530652,587914266,-1466349068,2.23,280.4,0,107,0,0
1038530653,587914253,-1466349074,2.23,354.6,0,108,0,0
1038530654,587914233,-1466349048,2.23,354.6,0,109,0,0
1038530655,587914188,-1466348974,2.55,354.6,0,107,0,0
1038530656,587914132,-1466348983,2.55,354.6,0,107,0,0
1038530657,587914122,-1466348957,2.61,354.6,0,106,0,0
1038530658,587914088,-1466348963,2.61,354.6,0,104,0,0
1038530659,587914107,-1466348941,2.83,354.6,0,104,0,0
1038530660,587914134,-1466348941,3.04,354.6,0,105,0,0
1038530661,587914067,-1466348994,3.04,354.6,0,105,0,0
1038530662,587914076,-1466349026,3.11,354.6,0,105,0,0
1038530663,587914100,-1466349046,3.34,354.6,0,105,0,0
1038530664,587914091,-1466349038,3.34,354.6,0,105,0,0
1038530665,587914098,-1466349034,3.41,354.6,0,105,0,0
1038530666,587914078,-1466349076,3.41,354.6,0,105,0,0
1038530667,587914067,-1466349065,3.41,354.6,0,105,65,0
1038530668,587914036,-1466349140,3.44,354.6,0,105,65,0
1038530669,587914010,-1466349185,3.44,354.6,0,104,65,0
1038530670,587914025,-1466349238,3.76,354.6,0,104,0,0
1038530671,587913988,-1466349262,3.76,354.6,0,106,0,0
1038530672,587913954,-1466349262,3.76,354.6,0,104,0,0
1038530673,587913965,-1466349256,3.86,354.6,0,106,0,0
1038530674,587913966,-1466349233,3.86,354.6,0,109,0,0
1038530675,587913909,-1466349252,3.86,354.6,0,112,0,0
1038530676,587913934,-1466349260,4.08,354.6,0,114,0,0
1038530677,587913944,-1466349250,4.14,354.6,0,117,0,0
1038530678,587913914,-1466349246,4.14,354.6,0,117,0,0
1038530679,587913898,-1466349237,4.15,354.6,0,117,0,0
1038530680,587913878,-1466349265,4.34,354.6,0,117,0,0
1038530681,587913858,-1466349211,4.58,354.6,0,117,0,0
1038530682,587913860,-1466349204,4.58,354.6,0,117,0,0
1038530683,587913843,-1466349205,4.58,354.6,0,117,0,0
1038530684,587913827,-1466349186,4.61,354.6,0,116,0,0
1038530685,587913833,-1466349107,5.07,354.6,0,114,0,0
1038530686,587913823,-1466349082,5.25,354.6,0,113,0,0
1038530687,587913805,-1466349077,5.33,354.6,0,111,0,0
1038530688,587913829,-1466349087,5.52,354.6,0,109,0,0
1038530689,587913788,-1466349065,5.77,354.6,0,108,0,0
1038530690,587913773,-1466349038,5.99,354.6,0,107,0,0
1038530691,587913708,-1466349070,6.48,354.6,0,107,0,0
1038530692,587913691,-1466349105,6.74,354.6,0,107,0,0
1038530693,587913761,-1466349138,7.25,354.6,0,107,0,0
1038530694,587913748,-1466349132,7.25,354.6,0,107,0,0
1038530695,587913776,-1466349179,7.62,354.6,0,106,0,0
1038530696,587913776,-1466349218,7.85,354.6,0,106,0,0
1038530697,587913817,-1466349258,8.26,354.6,0,107,0,0
1038530698,587913819,-1466349309,8.54,354.6,0,108,0,0
1038530699,587913834,-1466349307,8.63,354.6,0,108,0,0
1038530700,587913846,-1466349359,8.95,354.6,0,108,0,0
1038530701,587913829,-1466349434,9.34,354.6,0,108,0,0
1038530702,587913821,-1466349479,9.58,354.6,0,108,0,0
1038530703,587913806,-1466349504,9.68,354.6,0,107,0,0
1038530704,587913801,-1466349532,9.78,354.6,0,107,0,0
1038530705,587913817,-1466349558,10,354.6,0,107,0,0
1038530706,587913828,-1466349577,10.15,354.6,0,107,0,0
1038530707,587913837,-1466349544,10.28,354.6,0,105,0,0
1038530708,587913845,-1466349550,10.36,354.6,0,105,0,0
1038530709,587913825,-1466349527,10.36,354.6,0,107,0,0
1038530710,587913808,-1466349545,10.36,354.6,0,107,0,0
1038530711,587913806,-1466349547,10.36,354.6,0,108,0,0
1038530712,587913811,-1466349550,10.41,354.6,0,106,0,0
1038530713,587913815,-1466349555,10.46,354.6,0,107,0,0
1038530714,587913817,-1466349560,10.5,354.6,0,108,0,0
1038530715,587913821,-1466349563,10.53,354.6,0,107,0,0
1038530716,587913830,-1466349557,10.53,354.6,0,107,0,0
1038530717,587913813,-1466349566,10.7,354.6,0,107,0,0
1038530718,587913886,-1466349554,11.38,354.6,0,108,0,0
1038530719,587913817,-1466349468,12.13,354.6,0,108,0,0
1038530720,587913860,-1466349512,12.6,354.6,0,107,0,0
1038530721,587913779,-1466349408,13.58,354.6,0,107,0,0
1038530722,587913781,-1466349552,14.37,354.6,0,108,0,0
1038530723,587913773,-1466349566,14.48,354.6,0,107,0,0
1038530724,587913835,-1466349624,15.04,354.6,0,108,0,0
1038530725,587913882,-1466349729,15.81,354.6,0,108,0,0
1038530726,587913978,-1466349893,17.13,354.6,0,107,0,0
1038530727,587914040,-1466350119,18.62,354.6,0.774,107,0,0
1038530728,587914147,-1466350447,20.85,354.6,0.774,108,0,0
1038530729,587914311,-1466350728,23.14,354.6,2.118,111,0,0
1038530730,587914481,-1466351001,25.44,354.6,2.342,114,0,0
1038530731,587914678,-1466351296,28,354.6,2.398,115,82,0.5
1038530732,587914911,-1466351583,30.79,354.6,2.398,119,82,0.5
1038530733,587915184,-1466351853,33.8,354.6,2.426,122,82,0.5
1038530734,587915449,-1466352138,36.82,354.6,2.454,124,83,0.5
1038530735,587915733,-1466352358,39.77,354.6,2.547,125,84,0.5
1038530736,587915969,-1466352590,42.3,354.6,2.547,125,84,0.5
1038530737,587916195,-1466352774,44.63,354.6,2.547,125,84,0.5
1038530738,587916488,-1466352865,47.39,354.6,2.445,125,85,0
1038530739,587916752,-1466352916,49.87,354.6,2.417,126,84,0.5
1038530740,587917024,-1466352948,52.4,354.6,2.454,127,84,0.5
