timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,message_index,total_calories,avg_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,lap_trigger,sport,sub_sport,avg_fractional_cadence,max_fractional_cadence
1038530871,1038530642,587914508,-1466348969,587919710,-1466342575,228.713,227.683,132.23,66,0,22,0.581,2.631,0,0,lap,stop,121,144,13,86,manual,running,generic,0.953125,0
1038531006,1038530871,587919737,-1466342531,587918419,-1466352942,134.977,134.977,409.29,187,1,19,3.032,3.154,0,2,lap,stop,153,172,82,89,manual,running,generic,0.296875,0
1038531206,1038531006,587918556,-1466352736,587913889,-1466349265,200.222,200.222,192.42,145,2,26,0.961,2.818,0,0,lap,stop,145,174,38,84,manual,running,generic,0.1015625,0.5
1038531355,1038531206,587913936,-1466349337,587915366,-1466339213,149.134,149.134,399.98,207,3,21,2.682,2.976,0,0,lap,stop,150,167,83,87,manual,running,generic,0.953125,0
1038531549,1038531355,587915104,-1466339482,587919463,-1466340893,194.305,194.305,209.07,150,4,20,1.076,2.697,0,0,lap,stop,141,169,48,85,manual,running,generic,0.359375,0.5
1038531674,1038531549,587919453,-1466340811,587916234,-1466352507,124.093,124.093,343.4,175,5,16,2.767,2.967,0,0,lap,stop,147,167,82,86,manual,running,generic,0.5625,0
1038531858,1038531674,587916431,-1466352575,587913769,-1466345390,184.358,184.358,179.74,135,6,19,0.975,2.697,2,0,lap,stop,143,169,41,86,manual,running,generic,0.921875,0
1038531981,1038531858,587913769,-1466345533,587918477,-1466348497,122.69,122.69,344.93,176,7,15,2.811,2.958,0,0,lap,stop,146,166,85,89,manual,running,generic,0.3515625,0
1038532111,1038531981,587918463,-1466348126,587913756,-1466350360,130.023,129.187,164.42,118,8,16,1.273,2.79,0,0,lap,stop,151,172,52,88,manual,running,generic,0.4765625,0.5
1038532130,1038532111,587913796,-1466350443,587913987,-1466352317,17.114,17.114,13.55,12,9,1,0.792,1.045,0,0,lap,stop,129,130,0,0,session_end,running,generic,0,0
