timestamp,distance,speed,heart_rate,cadence,fractional_cadence
1037682861,0,0,85,0,0
1037682862,0,0,84,0,0
1037682863,0,0,85,0,0
1037682864,0,0,84,0,0
1037682865,0,0,86,0,0
1037682866,0,0,88,0,0
1037682867,0,0,90,0,0
1037682868,0,0,92,0,0
1037682869,0,0,94,0,0
1037682870,0,0,96,0,0
1037682871,0,0,96,0,0
1037682872,0,0,97,0,0
1037682873,0,0,98,0,0
1037682874,0,0,100,0,0
1037682875,0,0,101,0,0
1037682876,0,0,104,0,0
1037682877,0,0,105,0,0
1037682878,0,0,109,0,0
1037682879,0,0,110,0,0
1037682880,0,0,111,0,0
1037682881,0,0,112,0,0
1037682882,0,0,111,0,0
1037682883,0,0,112,0,0
1037682884,0,0,110,0,0
1037682885,0,0,111,0,0
1037682886,0,0,111,0,0
1037682887,0,0,112,0,0
1037682888,0,0,113,0,0
1037682889,0,0,113,0,0
1037682890,0,0,112,0,0
1037682891,0,0,113,0,0
1037682892,0,0,112,0,0
1037682893,0,0,112,0,0
1037682894,0,0,112,0,0
1037682895,0,0,113,0,0
1037682896,0,0,113,0,0
1037682897,0,0,114,0,0
1037682898,0,0,114,0,0
1037682899,0,0,114,0,0
1037682900,0,0,114,0,0
1037682901,0,0,114,0,0
1037682902,0,0,115,0,0
1037682903,0,0,117,0,0
1037682904,0,0,112,0,0
1037682905,0,0,113,0,0
1037682906,0,0,113,0,0
1037682907,0,0,110,0,0
1037682908,0,0,110,0,0
1037682909,0,0,109,0,0
1037682910,0,0,111,0,0
1037682911,0,0,112,0,0
1037682912,0,0,113,0,0
1037682913,0,0,113,0,0
1037682914,0,0,113,0,0
1037682915,0,0,113,0,0
1037682916,0,0,112,0,0
1037682917,0,0,113,0,0
1037682918,0,0,113,0,0
1037682919,0,0,112,0,0
1037682920,0,0,111,0,0
1037682921,0,0,111,0,0
1037682922,0,0,108,0,0
1037682923,0,0,108,0,0
1037682924,0,0,108,0,0
1037682925,0,0,107,0,0
1037682926,0,0,108,0,0
1037682927,0,0,107,0,0
1037682928,0,0,109,0,0
1037682929,0,0,110,0,0
1037682930,0,0,114,0,0
1037682931,0,0,116,0,0
1037682932,0,0,117,0,0
1037682933,0,0,117,0,0
1037682934,0,0,117,0,0
1037682935,0,0,118,0,0
1037682936,0,0,118,0,0
1037682937,0,0,118,0,0
1037682938,0,0,118,0,0
1037682939,0,0,118,0,0
1037682940,0,0,118,54,0.5
1037682941,0,0,118,55,0.5
1037682942,0,0,120,55,0.5
1037682943,0.48,0.476,120,55,0.5
1037682944,1.23,0.756,121,56,0.5
1037682945,2.18,0.952,124,56,0.5
1037682946,3.27,1.082,122,56,0.5
1037682947,4.46,1.194,123,56,0.5
1037682948,5.74,1.278,123,56,0
1037682949,7.08,1.344,123,56,0
1037682950,8.48,1.4,123,56,0.5
1037682951,9.97,1.484,123,57,0
1037682952,11.47,1.502,117,58,0
1037682953,12.97,1.502,116,58,0
1037682954,14.48,1.512,116,57,0
1037682955,16.02,1.54,116,56,0.5
1037682956,17.62,1.596,116,56,0
1037682957,19.26,1.642,116,56,0
1037682958,20.96,1.698,116,56,0.5
1037682959,22.65,1.698,117,56,0.5
1037682960,24.38,1.726,116,56,0
1037682961,26.14,1.764,116,56,0
1037682962,27.94,1.791,115,56,0
1037682963,29.76,1.819,115,56,0
1037682964,31.58,1.819,115,56,0
1037682965,33.39,1.819,114,56,0
1037682966,35.22,1.829,114,55,0
1037682967,36.91,1.68,114,55,0
1037682968,38.58,1.68,112,55,0
1037682969,40.2,1.614,114,55,0
1037682970,41.77,1.577,113,55,0
1037682971,43.32,1.549,116,55,0
1037682972,44.96,1.633,112,58,0
1037682973,46.59,1.633,114,58,0
1037682974,48.35,1.754,114,58,0
1037682975,50.18,1.838,114,57,0
1037682976,52.02,1.838,114,57,0
1037682977,53.93,1.913,115,57,0
1037682978,55.88,1.941,116,57,0
1037682979,57.82,1.941,116,57,0
1037682980,59.75,1.931,115,57,0
1037682981,61.68,1.931,116,57,0
1037682982,63.61,1.931,117,57,0
1037682983,65.44,1.829,116,57,0
1037682984,67.17,1.726,115,57,0
1037682985,68.89,1.726,116,82,0.5
1037682986,70.52,1.633,116,82,0.5
1037682987,72.15,1.624,116,83,0.5
1037682988,74.25,2.109,116,84,0
1037682989,76.54,2.277,117,84,0.5
1037682990,78.81,2.277,118,85,0
1037682991,81.13,2.314,119,86,0
1037682992,83.44,2.314,121,86,0
1037682993,85.78,2.342,122,86,0
1037682994,88.14,2.361,123,85,0.5
1037682995,90.51,2.37,123,84,0.5
1037682996,92.88,2.37,126,84,0.5
1037682997,95.26,2.379,128,83,0.5
1037682998,97.62,2.361,130,82,0.5
1037682999,99.96,2.342,130,82,0.5
1037683000,102.3,2.342,130,83,0.5
1037683001,104.63,2.323,130,83,0.5
1037683002,106.95,2.323,130,83,0.5
1037683003,109.27,2.323,131,83,0.5
1037683004,111.6,2.323,131,83,0.5
1037683005,113.92,2.323,131,83,0.5
1037683006,116.25,2.333,131,83,0.5
1037683007,118.6,2.342,131,83,0.5
1037683008,120.95,2.351,132,83,0.5
1037683009,123.29,2.342,132,83,0.5
1037683010,125.62,2.333,132,83,0.5
1037683011,127.95,2.333,133,83,0.5
