"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","2:06.8","2:06.8","0.07","29:17","--","112","124","--","--","--","--","--","--","44","--","--","0.78","--","--","10","--","8:35","167","0:46","10:38"
"2","2:03.7","4:10.5","0.29","7:11","--","143","155","--","--","--","--","--","--","167","--","--","0.83","--","--","17","--","7:00","172","2:03","7:09"
"3","2:57.5","7:08.1","0.10","29:49","--","135","157","--","--","--","--","--","--","45","--","--","0.75","--","--","21","--","6:30","173","0:58","9:44"
"4","2:07.1","9:15.2","0.28","7:33","--","145","162","--","--","--","--","--","--","163","--","--","0.81","--","--","17","--","6:51","175","2:01","7:11"
"5","2:50.2","12:05","0.01","0","--","141","165","--","--","--","--","--","--","9","--","--","0.55","--","--","21","--","7:05","170","0:05","5:55"
"6","2:02.1","14:07","0.27","7:34","--","150","165","--","--","--","--","--","--","165","--","--","0.80","--","--","17","--","6:57","177","1:56","7:11"
"7","2:54.5","17:02","0.01","0","--","141","167","--","--","--","--","--","--","6","--","--","0.69","--","--","21","--","7:00","171","0:04","5:38"
"8","2:06.2","19:08","0.29","7:21","--","150","168","--","--","--","--","--","--","170","--","--","0.80","--","--","17","--","6:54","205","2:03","7:10"
"9","2:16.6","21:25","0.03","0","--","143","167","--","--","--","--","--","--","19","--","--","0.59","--","--","16","--","6:38","171","0:11","7:01"
"10","2:07.4","23:32","0.30","7:08","--","150","164","--","--","--","--","--","--","172","--","--","0.82","--","--","17","--","6:52","178","2:07.4","7:08"
"11","0:01.3","23:34","0.00","4:50","--","164","164","--","--","--","--","--","--","171","--","--","1.21","--","--","0","--","7:10","171","0:01","3:36"
"Summary","23:34","23:34","1.65","14:18","","141","168","","","","","","","88","","","0.73","","","174","","6:30","205","12:15","7:26"
