timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:01:40,2.0611,-0.8224,0.777,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.100000,-0.7298,-1.8838000000000001,0.16949999999999998,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.200000,-0.7798,-0.9385,0.4925,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.300000,-0.044600000000000015,-1.3123999999999998,0.2508,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.400000,0.6093,-0.6113999999999999,-0.0309,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.500000,1.973,-1.0507,0.1847,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.600000,1.7667000000000002,-1.0028000000000001,0.1968,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.700000,1.1669,-2.0801,0.646,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.800000,-1.1663000000000001,-1.2174999999999998,0.339,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:40.900000,-0.51,-1.3436,0.4519,0 days 00:01:40,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41,0.3875,-0.8220000000000001,0.1655,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.100000,0.7944,-0.9342,0.1716,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.200000,2.2372,-0.6418,0.0426,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.300000,1.371,-1.1154,0.5293,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.400000,0.7048,-2.3548,0.5234,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.500000,-1.1591,-0.9226000000000001,0.3016,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.600000,-0.6601,-1.7373,0.6649,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.700000,0.6473,-0.5367,-0.047,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.800000,0.8672000000000001,-0.8454,0.08120000000000001,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:41.900000,2.19,-0.7461,-0.1467,0 days 00:01:41,0 days 00:01:40,17.62,2.202,114.0,87.0,0.5
0 days 00:01:42,1.0735,-2.1777,0.7262000000000001,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.100000,0.3766,-2.3893999999999997,0.5056,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.200000,-0.9867000000000001,-0.7085,0.42610000000000003,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.300000,-0.7487,-1.5989,0.5182,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.400000,0.8577999999999999,-0.5288,0.0505,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.500000,1.0184,-1.0629,0.1333,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.600000,2.1116,-0.6544000000000001,-0.0166,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.700000,1.4595,-2.3583000000000003,0.1541,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.800000,0.42000000000000004,-2.4395,0.5048,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:42.900000,-0.9715,-0.6698999999999999,0.38,0 days 00:01:42,0 days 00:01:42,20.18,2.566,115.0,88.0,0.0
0 days 00:01:43,-0.8821,-1.6030000000000002,0.5569,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.100000,1.0038,-0.4659,0.0496,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.200000,0.7582,-0.7991,0.10269999999999999,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.300000,2.148,-0.853,0.0496,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.400000,1.6229,-1.9198,0.6875,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.500000,0.44299999999999995,-2.4946,0.6065,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.600000,-1.0669,-0.6384000000000001,0.41720000000000007,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.700000,-0.7300000000000001,-1.4478,0.4013,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.800000,0.905,-0.5064,0.003999999999999995,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:43.900000,0.7712222222222223,-0.8081111111111111,0.09333333333333332,0 days 00:01:43,0 days 00:01:43,22.88,2.697,116.0,88.0,0.0
0 days 00:01:44,1.724,-0.7906363636363636,0.17254545454545453,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.100000,1.3848888888888888,-0.899888888888889,1.1348888888888888,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.200000,1.1117000000000001,-2.2473,0.6796,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.300000,-1.3462,-1.0158,0.2595,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.400000,-0.6731,-1.4494,0.4857,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.500000,0.40519999999999995,-0.8891,0.22630000000000003,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.600000,0.7085,-0.6927,0.0813,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.700000,1.7216,-1.0023,0.176,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.800000,1.7286000000000001,-0.9540999999999998,0.4062,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:44.900000,1.1435,-2.3019000000000003,0.5488999999999999,0 days 00:01:44,0 days 00:01:44,25.57,2.697,114.0,88.0,0.0
0 days 00:01:45,-1.149,-1.0417,0.3385,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.100000,-0.6580999999999999,-1.3604,0.5979,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.200000,0.3865,-0.9490999999999999,0.1763,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.300000,0.7263,-0.6985,0.028399999999999998,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.400000,1.8849,-0.9360999999999999,0.2339,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.500000,1.3368,-1.0044,0.20410000000000003,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.600000,1.2817,-1.9652999999999998,0.6946,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.700000,-1.1423,-1.3269,0.2947,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.800000,-0.6304000000000001,-1.3695,0.5347,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:45.900000,0.35960000000000003,-0.9295,0.2653,0 days 00:01:45,0 days 00:01:45,28.43,2.846,114.0,88.0,0.0
0 days 00:01:46,0.7416,-0.5942999999999999,0.15889999999999999,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.100000,1.9754999999999998,-0.8492000000000001,0.31260000000000004,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.200000,1.417,-1.2118,0.050599999999999964,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.300000,1.3389,-1.7800999999999998,0.8906000000000001,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.400000,-0.9238,-1.4839,0.3694,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.500000,-0.7649,-1.2381,0.6086,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.600000,0.3311,-0.9800000000000001,0.16360000000000002,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.700000,0.6681,-0.6285999999999999,-0.0526,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.800000,1.7696999999999998,-0.9625999999999999,0.266,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:46.900000,1.6136,-1.0008,0.12500000000000006,0 days 00:01:46,0 days 00:01:46,31.32,2.902,115.0,87.0,0.0
0 days 00:01:47,1.3151,-1.783,0.7367,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.100000,-0.9261111111111112,-1.6265555555555555,0.34700000000000003,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.200000,-0.5205454545454545,-1.2602727272727272,0.3906363636363636,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.300000,0.07211111111111113,-0.9612222222222222,0.2638888888888889,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.400000,0.6564,-0.48819999999999997,0.1443,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.500000,1.8045000000000002,-1.0127000000000002,0.4694,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.600000,1.2339,-1.0302,0.2872,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.700000,1.5446,-1.6227,0.33050000000000007,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.800000,-0.5903,-1.9253999999999998,0.2944,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:47.900000,-0.9218999999999999,-0.9776,0.5528000000000001,0 days 00:01:47,0 days 00:01:47,34.22,2.902,116.0,87.0,0.0
0 days 00:01:48,-0.1901,-1.1044,0.221,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.100000,0.8955,-0.5401,0.034800000000000005,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.200000,1.4087,-1.2965,0.3661,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.300000,1.4966,-0.18159999999999998,0.33520000000000005,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.400000,1.457,-2.266,0.6984,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.500000,-0.3557,-2.1622,0.2833,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.600000,-0.8535999999999999,-0.8362,0.44830000000000003,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.700000,-0.48580000000000007,-1.2449,0.3617,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.800000,1.0823,-0.24,0.09390000000000001,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:48.900000,1.034,-0.9102,0.1613,0 days 00:01:48,0 days 00:01:48,37.37,3.135,115.0,87.0,0.0
0 days 00:01:49,1.6156,-0.413,-0.20350000000000001,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.100000,1.6916,-0.022399999999999975,0.4896,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.200000,0.14679999999999996,-2.6421,0.4822,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.300000,-1.0871,-0.6477999999999999,0.31989999999999996,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.400000,-0.7849,-1.437,0.5565,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.500000,1.0196999999999998,-0.2824,0.12840000000000001,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.600000,0.8503000000000001,-0.9417,0.1143,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.700000,1.8879000000000001,-0.5388,-0.0874,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.800000,2.0465,-1.4223000000000001,-0.3896,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:49.900000,0.5617,-2.5717,0.6759000000000001,0 days 00:01:49,0 days 00:01:49,40.82,3.462,119.0,87.0,0.0
0 days 00:01:50,-1.2737,-0.6402,0.36560000000000004,0 days 00:01:50,0 days 00:01:50,44.49,3.667,119.0,87.0,0.0
